countrycode,years_lost,Source: data from UNSECO,Unnamed: 3,Unnamed: 4,Unnamed: 5
AFG,1.162544,,,On,
ALB,0.5522683,,,Off,
DZA,0.6736842,,,,
AND,0.4018349,,,,
AGO,0.8131868,,,,DATA FROM STATA: 
AIA,0.4748603,,,,
ATG,1.348881,,,,From: ReplicationFile/INPUT_LTGMHC_closures.xlsx generated by LTGMHC Toolkit Replication v1.do on 31 October 2025
ARG,1.240678,,,,
ARM,0.3386005,,,,
ABW,0.2553957,,,,
AUS,0.5592334,,,,
AUT,0.6877256,,,,
AZE,1.130165,,,,
BHS,1.419118,,,,
BHR,1.416667,,,,
BGD,1.705298,,,,
BRB,1.362745,,,,
BLR,0.0,,,,
BEL,0.4825688,,,,
BLZ,1.440147,,,,
BEN,0.2485981,,,,
BMU,0.6634799,,,,
BTN,0.990196,,,,
BOL,1.468189,,,,
BIH,0.9422311,,,,
BWA,0.4957555,,,,
BRA,1.386172,,,,
VGB,0.8566108,,,,
BRN,0.7026144,,,,
BGR,0.8422018,,,,
BFA,0.3296089,,,,
BDI,0.0,,,,
CPV,0.4946619,,,,
KHM,1.336683,,,,
CMR,0.3227513,,,,
CAN,0.8391867,,,,
CYM,0.4078947,,,,
CAF,0.4584838,,,,
TCD,0.6567718,,,,
CHL,0.9897785,,,,
CHN,0.4210526,,,,
COL,1.160596,,,,
COM,0.7733564,,,,
COG,0.693712,,,,
COK,0.0841751,,,,
CRI,1.458333,,,,
CIV,0.2518519,,,,
HRV,0.229927,,,,
CUB,1.06129,,,,
CUW,0.2495726,,,,
CYP,0.5629922,,,,
CZE,0.7917384,,,,
PRK,0.7708007,,,,
COD,0.6073059,,,,
DNK,0.5126904,,,,
DJI,0.2731377,,,,
DMA,0.8853616,,,,
DOM,1.214567,,,,
ECU,1.423198,,,,
EGY,0.6089109,,,,
SLV,1.518395,,,,
GNQ,0.7164429,,,,
ERI,0.7326733,,,,
EST,0.532197,,,,
SWZ,0.9768519,,,,
ETH,1.021053,,,,
FRO,0.1948276,,,,
FJI,0.9466248,,,,
FIN,0.5444235,,,,
FRA,0.2509652,,,,
GAB,0.4933333,,,,
GMB,0.5352564,,,,
GEO,0.7757202,,,,
DEU,0.6293104,,,,
GHA,0.6317757,,,,
GIB,0.506422,,,,
GRC,0.743346,,,,
GRL,0.0736301,,,,
GRD,1.197158,,,,
GTM,1.3296,,,,
GIN,0.5402504,,,,
GNB,0.5145454,,,,
GUY,1.309481,,,,
HTI,0.6024306,,,,
HND,1.704132,,,,
HUN,0.7628676,,,,
ISL,0.0784672,,,,
IND,1.261137,,,,
IDN,1.202229,,,,
IRN,1.294798,,,,
IRQ,1.691262,,,,
IRL,0.6235955,,,,
ISR,0.6247723,,,,
ITA,0.6849315,,,,
JAM,1.343936,,,,
JPN,0.1693811,,,,
JOR,1.331407,,,,
KAZ,0.8644068,,,,
KEN,0.7353896,,,,
KIR,0.0743363,,,,
KWT,1.783636,,,,
KGZ,0.590535,,,,
LAO,0.8363047,,,,
LVA,0.9207317,,,,
LBN,1.246809,,,,
LSO,0.5716463,,,,
LBR,0.5814697,,,,
LBY,1.109405,,,,
LIE,0.2243816,,,,
LTU,0.637051,,,,
LUX,0.2981818,,,,
MDG,0.5096154,,,,
MWI,0.5380623,,,,
MYS,1.223455,,,,
MDV,0.4328859,,,,
MLI,0.3690909,,,,
MLT,0.5792812,,,,
MHL,0.0333988,,,,
MRT,0.6096655,,,,
MUS,0.6829268,,,,
MEX,1.575251,,,,
FSM,0.4569288,,,,
MCO,0.2484342,,,,
MNG,1.193059,,,,
MNE,1.097046,,,,
MSR,0.8967742,,,,
MAR,0.6858169,,,,
MOZ,1.013817,,,,
MMR,1.541667,,,,
NAM,0.4521008,,,,
NRU,0.0,,,,
NPL,1.29912,,,,
NLD,0.5248227,,,,
NZL,0.4323843,,,,
NIC,0.1735537,,,,
NER,0.4356061,,,,
NGA,0.5204991,,,,
NIU,0.0376648,,,,
MKD,0.9470803,,,,
NOR,0.4240283,,,,
OMN,1.088795,,,,
PAK,1.133884,,,,
PLW,0.3129771,,,,
PSE,0.8927973,,,,
PAN,1.62709,,,,
PNG,0.1390729,,,,
PRY,1.386492,,,,
PER,1.405405,,,,
PHL,1.952941,,,,
POL,0.8629174,,,,
PRT,0.4874275,,,,
