countrycode,kg_kp_ratio,kg_k_share,iei,efficiency
AFG,3.8393144607543945,0.7933591604232788,,0.6186082363128662
ALB,0.37197351455688477,0.2711229622364044,,0.6406762003898621
DZA,0.8165313005447388,0.44950026273727417,,0.7837679982185364
ASM,0.30219972133636475,0.2320682406425476,,0.8708469867706299
AND,0.30219972133636475,0.2320682406425476,,0.8708469867706299
AGO,0.5574764609336853,0.35793572664260864,,0.688909649848938
ATG,0.4775960147380829,0.3232250213623047,,0.8708469867706299
ARG,0.29129305481910706,0.22558245062828064,,0.7212674617767334
ARM,0.2961491048336029,0.22848382592201233,,0.7713719606399536
ABW,0.30219972133636475,0.2320682406425476,,0.8708469867706299
AUS,0.1905815750360489,0.1600743532180786,,0.8092377185821533
AUT,0.23397421836853027,0.1896102875471115,,0.8708469867706299
AZE,1.1928250789642334,0.5439673066139221,,0.7589758634567261
BHS,0.07903051376342773,0.07324215024709702,,0.8708469867706299
BHR,0.34573423862457275,0.2569112181663513,,0.9024311900138855
BGD,0.35492417216300964,0.2619513273239136,,0.7086726427078247
BRB,0.37225547432899475,0.2712727189064026,,0.8708469867706299
BLR,0.3921378552913666,0.28159332275390625,,0.8869986534118652
BEL,0.16924355924129486,0.14474619925022125,,0.9059171676635742
BLZ,0.6495456099510193,0.3937724530696869,,0.7713719606399536
BEN,0.5798448920249939,0.3670264482498169,,0.4566204249858856
BMU,0.30219972133636475,0.2320682406425476,,0.8708469867706299
BTN,0.41453269124031067,0.2930527627468109,,0.688909649848938
BOL,1.3457765579223633,0.5737019181251526,,0.7030819058418274
BIH,0.5285881161689758,0.34580153226852417,,0.8636134266853333
BWA,0.528976559638977,0.34596773982048035,,0.7713719606399536
BRA,0.4196368455886841,0.2955944836139679,,0.6687687635421753
VGB,0.30219972133636475,0.2320682406425476,,0.8708469867706299
BRN,0.32759758830070496,0.24675969779491425,,0.8708469867706299
BGR,0.2732006013393402,0.2145778238773346,,0.8717163801193237
BFA,0.6558326482772827,0.39607423543930054,,0.6186082363128662
