countrycode,country_name,kg_kp_ratio,kg_k_share,kg_kp_fad,kg_k_fad,iei,pimi,efficiency_pimi,ig_i_20yr,ig_i_15yr,ig_i_10yr,ig_i_5yr,ig_i_current,ip_y,i_y,ig_y
PER,Peru,0.34043458104133606,0.2539733052253723,0.3649944067001343,0.2673962712287903,0.7092998623847961,0.6524999737739563,,0.20043471455574036,0.20530088245868683,0.21204873919487,0.2088623046875,0.20369957387447357,0.0,0.20778600917444512,0.0
countrycode,country,,,,,,,,,,,,,,,
AFG,Afghanistan,3.8393144607543945,0.7933591604232788,0.8174363970756531,0.4497744143009186,0.6186082363128662,0.5249999761581421,,0.7246788740158081,0.7232668399810791,0.7008487582206726,0.6885266304016113,0.671035647392273,,,
ALB,Albania,0.37197351455688477,0.2711229622364044,0.41119274497032166,0.29137957096099854,0.6406762003898621,0.4099999964237213,,0.2084474116563797,0.21887527406215668,0.21794411540031433,0.2235652059316635,0.23592884838581085,,0.2338680570287017,
DZA,Algeria,0.8165313005447388,0.44950026273727417,1.07683265209198,0.5184975266456604,0.7837679982185364,0.4670659899711609,,0.42714691162109375,0.4332755208015442,0.3802111744880676,0.3565782308578491,0.360088050365448,,,
ASM,American Samoa,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
AND,Andorra,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
AGO,Angola,0.5574764609336853,0.35793572664260864,0.4895707368850708,0.3286656439304352,0.688909649848938,0.45659735798835754,,0.28306469321250916,0.3209312856197357,0.2998565137386322,0.20215441286563873,0.17551489174365997,0.21825147888535984,0.25001570059203393,0.03176422044634819
ATG,Antigua and Barbuda,0.4775960147380829,0.3232250213623047,0.21926280856132507,0.17983227968215942,0.8708469867706299,1.0,,0.27078819274902344,0.26708555221557617,0.2596803307533264,0.16201646625995636,0.05973862484097481,,,
ARG,Argentina,0.29129305481910706,0.22558245062828064,0.2657678425312042,0.20996570587158203,0.7212674617767334,0.511349618434906,,0.18627168238162994,0.21141760051250458,0.22000907361507416,0.22395847737789154,0.19539518654346466,,0.15836750277118447,
ARM,Armenia,0.2961491048336029,0.22848382592201233,0.3848140835762024,0.2778814136981964,0.7713719606399536,0.5975000262260437,,0.15918965637683868,0.14393548667430878,0.15426918864250183,0.17480479180812836,0.18581540882587433,,0.21692702792594715,
ABW,Aruba,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
AUS,Australia,0.1905815750360489,0.1600743532180786,0.3323291838169098,0.24943473935127258,0.8092377185821533,1.0,,0.1255304366350174,0.12893374264240265,0.13713125884532928,0.14632737636566162,0.16820192337036133,0.20255445980950057,0.24267068862881497,0.04011622816324234
AUT,Austria,0.23397421836853027,0.1896102875471115,0.24768133461475372,0.19851329922676086,0.8708469867706299,1.0,,0.125509575009346,0.1328531950712204,0.1319119781255722,0.12828759849071503,0.12277146428823471,,0.24332715824957987,
AZE,Azerbaijan,1.1928250789642334,0.5439673066139221,0.4353678822517395,0.3031167984008789,0.7589758634567261,0.3824999928474426,,0.4278114438056946,0.550825834274292,0.6171673536300659,0.5130464434623718,0.5759999752044678,,0.1679690035381559,
BHS,"Bahamas, The",0.07903051376342773,0.07324215024709702,0.08754540234804153,0.08049815893173218,0.8708469867706299,1.0,,0.057522594928741455,0.06556110084056854,0.07513318210840225,0.08120916783809662,0.06115959957242012,,0.2574970946389773,
BHR,Bahrain,0.34573423862457275,0.2569112181663513,0.3942887485027313,0.2827884554862976,0.9024311900138855,1.0,,0.2113688737154007,0.18955522775650024,0.18668991327285767,0.15581819415092468,0.14391855895519257,,,
BGD,Bangladesh,0.35492417216300964,0.2619513273239136,0.3535204827785492,0.2611859142780304,0.7086726427078247,0.5099999904632568,,0.22395500540733337,0.2143702208995819,0.2250129133462906,0.24267318844795227,0.2542603015899658,0.2395649674005012,0.3070049063820849,0.06743993610143661
BRB,Barbados,0.37225547432899475,0.2712727189064026,1.1826740503311157,0.5418463945388794,0.8708469867706299,0.29750001430511475,,0.19276179373264313,0.16005012392997742,0.13048771023750305,0.1489270180463791,0.1418900489807129,,,
BLR,Belarus,0.3921378552913666,0.28159332275390625,0.4353678822517395,0.3031167984008789,0.8869986534118652,0.5149999856948853,,0.12357197701931,0.12904223799705505,0.10533568263053894,,0.21673117578029633,,0.2380017908501185,
