income_group,country,countrycode,delta,labor_share,ky_ratio,hc_growth,tfp_growth,lfp,lfp_male,lfp_female,gdppc,gdp_pc_level,inv_gdp,inv_gdp_weo,gdp_growth,gdppc_growth,gns_gdp,cab_gdp,fdi_gdp,debt_gdp,poverty_215,poverty_365,poverty_685,gini,pop_growth_2024,pop_growth_2030,watp_2024,watp_2030
Low income,Afghanistan,AFG,0.04769023880362511,0.5202069878578186,2.2917304039001465,0.010602852329611778,0.0005836357595399022,0.38459000000000004,0.71146,0.05317,,506.12359619140625,0.15121757984161377,,-0.02057250589132309,-0.04661719501018524,0.024084674194455147,-0.18882142007350922,0.0038156178779900074,0.19986416399478912,,,,,0.028365731239318848,0.02660377509891987,0.5471152441977127,0.567221087094526
Upper middle income,Albania,ALB,0.028501858934760094,0.7048901319503784,5.697336673736572,0.0011300866026431322,0.02010314166545868,0.72028,0.79655,0.64571,8690.0,4544.5361328125,0.2561722993850708,0.26069167256355286,0.032595518976449966,0.03882507234811783,-0.09284278005361557,-0.06355634331703186,0.07513785362243652,0.48260363936424255,0.003,0.021,0.19899999999999998,0.294,-0.007099265698343515,-0.007466762792319059,0.6623646084761089,0.643355533640108
Upper middle income,Algeria,DZA,0.04416625201702118,0.4845505356788635,4.329810619354248,0.0155005669221282,0.0014869102742522955,0.44632,0.72334,0.15489,5320.0,4120.6083984375,0.32998088002204895,0.3674633502960205,0.020152725279331207,0.0024143450427800417,-0.04668446257710457,-0.06696151196956635,0.005333326756954193,0.02954157069325447,0.0,0.047,0.418,0.276,0.013983865268528461,0.009994878433644772,0.630887832742159,0.6506922839739004
High income,American Samoa,ASM,0.04230361059308052,0.5460877418518066,5.107937335968018,0.005804792046546936,0.001797617063857615,,,,,,0.20726224780082703,,0.001953164814040065,0.014546314254403114,,,,,,,,,-0.016036659479141235,-0.012331126257777214,0.6494707580455469,0.657537594860096
High income,Andorra,AND,0.04230361059308052,0.5460877418518066,5.107937335968018,0.005804792046546936,0.001797617063857615,,,,48870.0,,0.20726224780082703,,0.020086143165826797,0.009540329687297344,,0.14884693920612335,,,,,,,0.0132930688560009,0.0039409492164850235,0.7216903127383676,0.6882757654802961
Lower middle income,Angola,AGO,0.04355565458536148,0.2232351005077362,3.123647689819336,0.007144388742744923,0.007312478963285685,0.7655299999999999,0.79037,0.74153,2220.0,3455.047119140625,0.2986260652542114,0.3498183488845825,-6.280033994698897e-05,-0.033343203365802765,0.035520270466804504,0.03697928786277771,-0.03258760645985603,0.6719486117362976,0.39299999999999996,0.537,0.8,0.513,0.030441997572779655,0.028493205085396767,0.5279661605581788,0.542977188141006
High income,Antigua and Barbuda,ATG,0.027413733303546906,0.5460877418518066,7.191007137298584,0.005804792046546936,0.001797617063857615,,,,21380.0,,0.20726224780082703,0.34852665662765503,0.020042531192302704,0.014555144123733044,,-0.09918894618749619,0.1144769936800003,,,,,,0.004874721169471741,0.003088096622377634,0.704158512981023,0.6801927083333333
Upper middle income,Argentina,ARG,0.03736775740981102,0.5284717679023743,4.051673412322998,0.00804363377392292,-0.003756133606657386,0.7090099999999999,0.7943300000000001,0.6221099999999999,13440.0,13785.021484375,0.19735842943191528,0.15568166971206665,-1.7774291336536407e-05,-0.0060432241298258305,-0.021777303889393806,-0.017285987734794617,0.018604591488838196,0.411975622177124,0.012,0.031,0.16399999999999998,0.424,0.0034582982771098614,0.0030368687584996223,0.6598005315939136,0.681929934475506
Upper middle income,Armenia,ARM,0.03801887854933739,0.5085635781288147,4.196177005767822,-6.395854143192992e-05,0.028851399198174477,0.72745,0.7727299999999999,0.6875199999999999,7780.0,4381.154296875,0.21942467987537384,0.20095333456993103,0.04671492427587509,0.046063393354415894,-0.06868111342191696,-0.03248662129044533,0.021031454205513,0.6576017737388611,0.019,0.084,0.569,0.272,0.010291049256920815,-0.00689305504783988,0.6706015336061232,0.6513574638019298
High income,Aruba,ABW,0.03591228276491165,0.6451061367988586,4.96799898147583,0.005804792046546936,0.001797617063857615,,,,,,0.20726224780082703,,0.012858249247074127,0.012285484001040459,,0.015630653128027916,0.024780141189694405,,,,,,0.001175898825749755,-0.0011767159448936582,0.6609880119001902,0.6387517556912208
High income,Australia,AUS,0.03392145037651062,0.5460877418518066,4.676305294036865,0.00395390298217535,0.0027017719112336636,0.8080700000000001,0.84435,0.7718600000000001,62550.0,60130.04296875,0.2549055814743042,0.2541300058364868,0.0230580922216177,0.008315241895616055,-0.0310001652687788,-0.010953287594020367,0.03027021884918213,,0.005,0.006999999999999999,0.012,0.34299999999999997,0.009859359823167324,0.008263206109404564,0.644281358227139,0.6329478687606359
High income,Austria,AUT,0.04476464167237282,0.6079999804496765,5.629655838012695,0.003983478527516127,0.0001688910269876942,0.78071,0.82006,0.74068,54160.0,50112.23046875,0.21172381937503815,0.23874834179878235,0.010991171002388,0.003855487098917365,0.02105776034295559,0.01668388769030571,-0.008088256232440472,,0.006,0.006999999999999999,0.011000000000000001,0.309,-0.0010537366615608335,-0.001036537578329444,0.6516559433901341,0.6238891874886052
Upper middle income,Azerbaijan,AZE,0.06069868803024292,0.39230209589004517,2.473018169403076,0.00804363377392292,0.0014869102742522955,0.6994199999999999,0.7172700000000001,0.68238,7310.0,5371.92529296875,0.1824755072593689,0.15126000344753265,0.013142607174813747,0.006373650394380093,0.12815223634243011,0.08328774571418762,0.025681110098958015,0.2006487101316452,0.0,0.003,0.359,0.266,0.0017787651158869267,0.004758155904710293,0.6963259841083763,0.697349367767487
High income,"Bahamas, The",BHS,0.03978234529495239,0.3972102701663971,6.628520488739014,0.005804792046546936,0.001797617063857615,0.8040999999999999,0.8561799999999999,0.7561100000000001,,32360.341796875,0.2702521085739136,0.2229466587305069,0.015097914263606071,0.010251264087855816,-0.09961089491844177,-0.10488370060920715,0.028668442741036415,,,,,,0.0046033477410674095,0.003222604049369693,0.703113513405751,0.6966423044533249
High income,Bahrain,BHR,0.03347509354352951,0.29356512427330017,5.701907634735107,0.01631440594792366,-0.02070333994925022,0.7313299999999999,0.87925,0.45437,28810.0,21239.078125,0.257240891456604,0.2830433249473572,0.02605883590877056,0.007119469810277224,0.015425072982907295,0.0035266925115138292,0.043970901519060135,,,,,,0.023536719381809235,0.010452641174197197,0.7742983488052787,0.7759525925825214
Lower middle income,Bangladesh,BGD,0.039687227457761765,0.4958328306674957,4.015318393707275,0.010127426125109196,0.0022091122809797525,0.64794,0.83379,0.47537999999999997,2820.0,1603.99658203125,0.3137061595916748,0.29852500557899475,0.06096016988158226,0.05154377594590187,0.0038614263758063316,-0.008601691573858261,0.006072051357477903,0.23192478716373444,0.08,0.244,0.722,0.33399999999999996,0.012146211229264736,0.010848991572856903,0.6551260646576581,0.6617996553938265
High income,Barbados,BRB,0.033608242869377136,0.7505659461021423,8.401266098022461,0.0018274056492373347,0.006644594948738813,0.7579300000000001,0.7759199999999999,0.7409300000000001,23660.0,,0.20726224780082703,0.16889165341854095,0.008104545995593071,0.006635584402829409,,-0.05241857096552849,0.05476466193795204,,0.017,0.032,0.158,0.341,0.0004638785612769425,-0.0007254262454807758,0.662085018630462,0.6394108828438478
Upper middle income,Belarus,BLR,0.04351839795708656,0.5695437788963318,5.435386657714844,0.00804363377392292,0.0014869102742522955,0.7931699999999999,0.82652,0.76141,8240.0,6289.59716796875,0.31177818775177,0.2777249813079834,0.0055130417458713055,0.008901581168174744,-0.052198100835084915,-0.007975727319717407,0.02346021495759487,0.5064179301261902,0.0,0.001,0.026000000000000002,0.244,-0.00649163406342268,-0.007274202536791563,0.6603620680212741,0.6596789746803862
High income,Belgium,BEL,0.0449611097574234,0.5861257314682007,5.8628621101379395,0.001886173035018146,-0.0007819941965863109,0.7077100000000001,0.74524,0.66967,54840.0,47404.046875,0.20650795102119446,0.24110332131385803,0.01587793603539467,0.010091084986925125,0.005141984671354294,0.001892194151878357,-0.01280288677662611,,0.0,0.001,0.002,0.264,0.002206241711974144,0.0008868846343830228,0.6344579222504995,0.6247428037267146
Upper middle income,Belize,BLZ,0.0531848706305027,0.4845505356788635,2.994157075881958,-0.0041346256621181965,0.0014869102742522955,0.65063,0.77928,0.52015,7640.0,4788.64892578125,0.16675445437431335,0.2159983217716217,0.025904888287186623,0.008064128458499908,-0.05669252946972847,-0.05971978232264519,0.0328403003513813,0.4923355281352997,0.01,0.04,0.19699999999999998,0.39899999999999997,0.014407780021429062,0.011276239529252052,0.6839774475119973,0.6897879018937887
Lower middle income,Benin,BEN,0.050449103116989136,0.6171550154685974,3.0669260025024414,0.018984884023666382,-0.003355851396918297,0.7669799999999999,0.7774899999999999,0.75646,1430.0,1201.0770263671875,0.1973131000995636,0.3855849802494049,0.05378743261098862,0.026691891252994537,-0.0369487963616848,-0.04605962708592415,0.015959177166223526,0.6345025300979614,0.272,0.5,0.865,0.344,0.02461753599345684,0.022201798856258392,0.5532936257374476,0.5720029674786816
High income,Bermuda,BMU,0.055123694241046906,0.5863103866577148,3.019484519958496,0.005804792046546936,0.001797617063857615,,,,140280.0,,0.20726224780082703,,0.01412520743906498,0.012397702783346176,,0.1317683905363083,0.003963523544371128,,,,,,-0.0009587579988874495,-0.0027362792752683163,0.6464923069782553,0.6083750205500364
