income_group,country,countrycode,delta_pwt110,delta_pwt90,delta_pwt91,delta_pwt100,delta_pwt1001,delta_ameco,labsh_pwt110,labsh_pwt90,labsh_pwt91,labsh_pwt100,labsh_pwt1001,labsh_ted,ky_pwt110,ky_pwt90,ky_pwt91,ky_pwt100,ky_pwt1001,ky_mfmod,ky_ameco,ky_pim,ky_fad,gni_pc_atlas,gdp_pc_level,gdp_pc_wdi,hc_growth_pwt110_20yr,hc_growth_pwt110_15yr,hc_growth_pwt110_10yr,hc_growth_pwt110_05yr,hc_growth_pwt110_00yr,hc_growth_pwt90_10yr,hc_growth_pwt91_10yr,hc_growth_pwt100_10yr,tfp_growth_pwt110_20yr,tfp_growth_pwt110_15yr,tfp_growth_pwt110_10yr,tfp_growth_pwt110_05yr,tfp_growth_pwt110_00yr,tfp_growth_pwt90_20yr,tfp_growth_pwt91_20yr,tfp_growth_pwt100_20yr,tfp_growth_ted_20yr,inv_gdp_pwt_20yr,inv_gdp_wdi_20yr,inv_gdp_fad_20yr,inv_gdp_weo_20yr,inv_gdp_ameco_20yr,inv_gdp_pwt_15yr,inv_gdp_wdi_15yr,inv_gdp_fad_15yr,inv_gdp_weo_15yr,inv_gdp_ameco_15yr,inv_gdp_pwt_10yr,inv_gdp_wdi_10yr,inv_gdp_fad_10yr,inv_gdp_weo_10yr,inv_gdp_ameco_10yr,inv_gdp_pwt_05yr,inv_gdp_wdi_05yr,inv_gdp_fad_05yr,inv_gdp_weo_05yr,inv_gdp_ameco_05yr,inv_gdp_pwt_00yr,inv_gdp_wdi_00yr,inv_gdp_fad_00yr,inv_gdp_weo_00yr,inv_gdp_ameco_00yr,inv_gdp_weo_forecast,lfp_total,lfp_male,lfp_female,gdp_growth_10yr,gdppc_growth_10yr,cab_gdp_20yr,fdi_gdp_20yr,cab_gdp_15yr,fdi_gdp_15yr,cab_gdp_10yr,fdi_gdp_10yr,cab_gdp_05yr,fdi_gdp_05yr,cab_gdp_00yr,fdi_gdp_00yr,debt_gdp,poverty_215,poverty_365,poverty_685,gini,pop_growth_med_2024,pop_growth_med_2025,pop_growth_med_2030,pop_growth_med_2035,pop_growth_med_2040,pop_growth_med_2050,watp_1564_med_2024,watp_1564_med_2025,watp_1564_med_2030,watp_1564_med_2035,watp_1564_med_2040,watp_1564_med_2050
Low income,Afghanistan,AFG,0.04769023880362511,0.052902717143297195,0.05032079666852951,0.045920804142951965,0.046981021761894226,,0.5202069878578186,0.5691162347793579,0.5575499534606934,0.5201047658920288,0.5201047658920288,0.5,2.2917304039001465,2.2877681255340576,2.9203906059265137,2.1350183486938477,2.0378494262695312,1.3748656511306763,,2.2798264026641846,3.800279140472412,,506.12359619140625,,0.010018711909651756,0.010180307552218437,0.010602852329611778,0.011465471237897873,0.009044544771313667,0.008912090212106705,0.009436478838324547,0.009638981893658638,0.0005836357595399022,-0.00792674534022808,0.0014659917214885354,-0.007874075323343277,-0.010270328260958195,0.004662499763071537,0.0007544680847786367,0.009173756465315819,0.004600000102072954,0.15609759092330933,0.14088594913482666,0.14445708692073822,0.2073104977607727,,0.15661439299583435,0.14088594913482666,0.14967955648899078,0.1978207230567932,,0.15121757984161377,0.14088594913482666,0.13500510156154633,0.19538551568984985,,0.16410014033317566,0.14088594913482666,0.13785909116268158,0.19871799647808075,,0.14494574069976807,0.22291959822177887,0.12313074618577957,0.19079500436782837,,,0.38459000000000004,0.71146,0.05317,-0.02057250589132309,-0.04661719501018524,-0.15123911201953888,0.00913375336676836,-0.17862623929977417,0.004084985237568617,-0.18882142007350922,0.0038156178779900074,-0.15718302130699158,0.0010473044821992517,,,0.19986416399478912,,,,,0.028365731239318848,0.027671942487359047,0.02660377509891987,0.022995496168732643,0.022402912378311157,0.017973270267248154,0.5471152441977127,0.5501349708044603,0.567221087094526,0.5852388640521847,0.6031362727496894,0.634585103053959
Upper middle income,Albania,ALB,0.028501858934760094,0.03461672365665436,0.03287290036678314,0.027731988579034805,0.027926700189709663,,0.7048901319503784,0.47260284423828125,0.46375101804733276,0.48862648010253906,0.48862648010253906,0.5,5.697336673736572,4.2068376541137695,5.116536617279053,6.122994899749756,5.983733654022217,3.4068334102630615,,4.477224826812744,3.1589624881744385,8690.0,4544.5361328125,5726.025705309682,0.002991333371028304,0.0028759778942912817,0.0011300866026431322,0.002382193459197879,0.002398376353085041,0.00253744563087821,0.002284751506522298,0.0023010652512311935,0.02010314166545868,0.006000762339681387,0.0019024551147595048,0.012421620078384876,0.026188187301158905,0.0026000002399086952,0.0010450861882418394,0.004686747677624226,-2.0000001313746907e-05,0.27827203273773193,0.29083451628685,0.3057582676410675,0.31211599707603455,0.29513120651245117,0.27694830298423767,0.2659107446670532,0.28875696659088135,0.28848734498023987,0.2681002914905548,0.2561722993850708,0.2540411949157715,0.2541024386882782,0.2697089910507202,0.24205705523490906,0.2430058717727661,0.2510986328125,0.23916159570217133,0.2663100063800812,0.234805628657341,0.23115648329257965,0.2338680624961853,0.22336074709892273,0.24950000643730164,0.24025973677635193,0.26069167256355286,0.72028,0.79655,0.64571,0.032595518976449966,0.03882507234811783,-0.08633468300104141,0.07554824650287628,-0.07857535034418106,0.07878892868757248,-0.06355634331703186,0.07513785362243652,-0.05133410543203354,0.06909510493278503,-0.023773379623889923,0.06307673454284668,0.48260363936424255,0.003,0.021,0.19899999999999998,0.294,-0.007099265698343515,-0.007282435894012451,-0.007466762792319059,-0.00803468655794859,-0.00910111702978611,-0.009941641241312027,0.6623646084761089,0.6577169645039748,0.643355533640108,0.6321149312606494,0.6262379837082928,0.6137133618029561
Upper middle income,Algeria,DZA,0.04416625201702118,0.05785558372735977,0.0721195712685585,0.04434509947896004,0.045639216899871826,,0.4845505356788635,0.47260284423828125,0.46375101804733276,0.48862648010253906,0.48862648010253906,0.5,4.329810619354248,3.130176305770874,3.5257318019866943,5.174331188201904,4.765359878540039,3.1579136848449707,,4.917183876037598,4.25473690032959,5320.0,4120.6083984375,4747.346247593383,0.013110341504216194,0.014849909581243992,0.0155005669221282,0.013681267388164997,0.011420291848480701,0.011662937700748444,0.014491409994661808,0.016377059742808342,0.0014869102742522955,-0.00011884823470609263,-0.0022961306385695934,-0.0070853643119335175,0.004070164170116186,0.0026000002399086952,0.0010450861882418394,0.004686747677624226,-0.018205000087618828,0.27993044257164,0.35194525122642517,0.31536298990249634,0.4268695116043091,,0.3033890724182129,0.3727738559246063,0.34309327602386475,0.4491180181503296,,0.32998088002204895,0.3844265341758728,0.3753103017807007,0.45171600580215454,,0.3477550148963928,0.34349942207336426,0.40991151332855225,0.3946060240268707,,0.35526320338249207,0.20955219864845276,0.3869435787200928,0.38214999437332153,,0.3674633502960205,0.44632,0.72334,0.15489,0.020152725279331207,0.0024143450427800417,0.021244756877422333,0.008603690192103386,-0.030952248722314835,0.006640980020165443,-0.06696151196956635,0.005333326756954193,-0.00568403210490942,0.005162748973816633,,,0.02954157069325447,0.0,0.047,0.418,0.276,0.013983865268528461,0.013178047724068165,0.009994878433644772,0.008966481313109398,0.008734844624996185,0.0072349063120782375,0.630887832742159,0.6326856944957555,0.6506922839739004,0.66912216711191,0.6704664472139509,0.6284671789633051
High income,American Samoa,ASM,0.04230361059308052,0.0446503646671772,0.04414917528629303,0.04183415696024895,0.04333784431219101,,0.5460877418518066,0.5540055632591248,0.5553300976753235,0.5560491681098938,0.5560491681098938,0.52935,5.107937335968018,3.9879281520843506,4.354987621307373,5.076521873474121,4.589283466339111,2.355471611022949,,3.616567850112915,2.510833263397217,,,,0.005911636631935835,0.005814375821501017,0.005804792046546936,0.005897576455026865,0.006498908158391714,0.0055512432008981705,0.005634124856442213,0.005553480237722397,0.001797617063857615,0.0008305975352413952,0.0016134679317474365,-0.0008093041833490133,-0.007495320402085781,0.0037000002339482307,0.0035477709025144577,0.0038668853230774403,-0.0016949999844655395,0.20631371438503265,0.22596871852874756,0.22426475584506989,0.23712024092674255,,0.2124754786491394,0.2234286665916443,0.22436664998531342,0.23638801276683807,,0.20726224780082703,0.22525638341903687,0.2187877744436264,0.23661750555038452,,0.21339543163776398,0.22458405792713165,0.22475290298461914,0.2367429882287979,,0.2191373109817505,0.2188243865966797,0.22190003097057343,0.22590500116348267,,,,,,0.001953164814040065,0.014546314254403114,,,,,,,,,,,,,,,,-0.016036659479141235,-0.01586342789232731,-0.012331126257777214,-0.008824160322546959,-0.006680524908006191,-0.004332059994339943,0.6494707580455469,0.6511400545314316,0.657537594860096,0.6547511201429865,0.6325170430742278,0.6007058196830469
High income,Andorra,AND,0.04230361059308052,0.0446503646671772,0.04414917528629303,0.04183415696024895,0.04333784431219101,,0.5460877418518066,0.5540055632591248,0.5553300976753235,0.5560491681098938,0.5560491681098938,0.52935,5.107937335968018,3.9879281520843506,4.354987621307373,5.076521873474121,4.589283466339111,2.355471611022949,,3.616567850112915,2.510833263397217,48870.0,,41034.5073956102,0.005911636631935835,0.005814375821501017,0.005804792046546936,0.005897576455026865,0.006498908158391714,0.0055512432008981705,0.005634124856442213,0.005553480237722397,0.001797617063857615,0.0008305975352413952,0.0016134679317474365,-0.0008093041833490133,-0.007495320402085781,0.0037000002339482307,0.0035477709025144577,0.0038668853230774403,-0.0016949999844655395,0.20631371438503265,0.22596871852874756,0.22426475584506989,0.23712024092674255,,0.2124754786491394,0.2234286665916443,0.22436664998531342,0.23638801276683807,,0.20726224780082703,0.22525638341903687,0.2187877744436264,0.23661750555038452,,0.21339543163776398,0.22458405792713165,0.22475290298461914,0.2367429882287979,,0.2191373109817505,0.2188243865966797,0.22190003097057343,0.22590500116348267,,,,,,0.020086143165826797,0.009540329687297344,0.14884693920612335,,0.14884693920612335,,0.14884693920612335,,0.14103250205516815,,,,,,,,,0.0132930688560009,0.011720447801053524,0.0039409492164850235,0.0007894126465544105,-0.002052335301414132,-0.005411452613770962,0.7216903127383676,0.7181938254256404,0.6882757654802961,0.646474844354703,0.5996346360367932,0.5380497597177445
Lower middle income,Angola,AGO,0.04355565458536148,0.049670323729515076,0.04324081540107727,0.043387677520513535,0.04360642284154892,,0.2232351005077362,0.48951712250709534,0.3424573540687561,0.3311423361301422,0.3311423361301422,0.3251,3.123647689819336,3.7284064292907715,4.676952362060547,6.155531406402588,5.856154918670654,3.4880316257476807,,2.627777099609375,3.1452596187591553,2220.0,3455.047119140625,2364.8465910120754,0.007419931702315807,0.006938986014574766,0.007144388742744923,0.009316984564065933,0.012573756277561188,0.007306375540792942,0.00613908376544714,0.005360894836485386,0.007312478963285685,-0.016103187575936317,-0.02173883467912674,-0.020790306851267815,-0.008482430130243301,0.0071000000461936,0.051153555512428284,0.021672630682587624,0.00904999952763319,0.2928171455860138,0.2611958980560303,0.25452473759651184,0.3093304932117462,,0.3136604428291321,0.2503224015235901,0.26222020387649536,0.31009599566459656,,0.2986260652542114,0.24053654074668884,0.24642208218574524,0.3302270174026489,,0.26349014043807983,0.2559288740158081,0.2229500561952591,0.3459220230579376,,0.26083770394325256,0.2500157058238983,0.1661520004272461,0.3338800072669983,,0.3498183488845825,0.7655299999999999,0.79037,0.74153,-6.280033994698897e-05,-0.033343203365802765,0.059860967099666595,-0.02145596407353878,0.04789897799491882,-0.028651656582951546,0.03697928786277771,-0.03258760645985603,0.07694754749536514,-0.038767240941524506,0.07848367094993591,-0.0016889807302504778,0.6719486117362976,0.39299999999999996,0.537,0.8,0.513,0.030441997572779655,0.030010094866156578,0.028493205085396767,0.02687702886760235,0.0251312218606472,0.021688522771000862,0.5279661605581788,0.5300659219380637,0.542977188141006,0.5574427405127711,0.5721524133468856,0.600629908493184
High income,Antigua and Barbuda,ATG,0.027413733303546906,0.0321362279355526,0.03274313360452652,0.027289992198348045,0.027795890346169472,,0.5460877418518066,0.5540055632591248,0.5553300976753235,0.5560491681098938,0.5560491681098938,0.52935,7.191007137298584,6.215532302856445,6.425572872161865,7.272931098937988,6.775229454040527,2.355471611022949,,3.616567850112915,3.1219282150268555,21380.0,,18468.995170372433,0.005911636631935835,0.005814375821501017,0.005804792046546936,0.005897576455026865,0.006498908158391714,0.0055512432008981705,0.005634124856442213,0.005553480237722397,0.001797617063857615,0.0008305975352413952,0.0016134679317474365,-0.0008093041833490133,-0.007495320402085781,0.0037000002339482307,0.0035477709025144577,0.0038668853230774403,-0.0016949999844655395,0.20631371438503265,0.22596871852874756,0.28170204162597656,0.2963836193084717,,0.2124754786491394,0.2234286665916443,0.29672473669052124,0.2963836193084717,,0.20726224780082703,0.22525638341903687,0.26954129338264465,0.3208619952201843,,0.21339543163776398,0.22458405792713165,0.29962196946144104,0.3980580270290375,,0.2191373109817505,0.2188243865966797,0.35924243927001953,0.35016000270843506,,0.34852665662765503,,,,0.020042531192302704,0.014555144123733044,-0.11267653107643127,0.10939833521842957,-0.08804313093423843,0.09774310886859894,-0.09918894618749619,0.1144769936800003,-0.1412787288427353,0.14042878150939941,-0.08151954412460327,0.12164352834224701,,,,,,0.004874721169471741,0.004649414215236902,0.003088096622377634,0.0015578013844788074,-0.0004528845602180809,-0.003413241356611252,0.704158512981023,0.7019377232415335,0.6801927083333333,0.6535989485349072,0.6390843529781178,0.6173899321445478
Upper middle income,Argentina,ARG,0.03736775740981102,0.04080139100551605,0.03825870156288147,0.03549220785498619,0.03632448986172676,,0.5284717679023743,0.43294331431388855,0.5442773103713989,0.5439176559448242,0.5439176559448242,0.4575,4.051673412322998,2.3992254734039307,2.935225248336792,3.4842727184295654,3.2854323387145996,2.7532589435577393,,3.4843873977661133,2.198880672454834,13440.0,13785.021484375,12667.031365437317,0.007224803324788809,0.007756093516945839,0.00804363377392292,0.006079913582652807,0.0034776118118315935,0.006440187804400921,0.007887592539191246,0.009300775825977325,-0.003756133606657386,-0.015240348875522614,-0.01927853375673294,-0.019035780802369118,-0.07255317270755768,0.002616201527416706,-0.0030393104534596205,-0.0034894829150289297,-0.0006200000061653554,0.17950324714183807,0.1649036854505539,0.15389114618301392,0.17386400699615479,,0.1931280493736267,0.16001136600971222,0.1628221571445465,0.16962267458438873,,0.19735842943191528,0.15800030529499054,0.1544414609670639,0.16725900769233704,,0.19256703555583954,0.16710178554058075,0.14484944939613342,0.1669120043516159,,0.17181748151779175,0.15836749970912933,0.1312248855829239,0.14358000457286835,,0.15568166971206665,0.7090099999999999,0.7943300000000001,0.6221099999999999,-1.7774291336536407e-05,-0.0060432241298258305,-0.005979883950203657,0.020025376230478287,-0.015459652990102768,0.019248465076088905,-0.017285987734794617,0.018604591488838196,-0.0016666570445522666,0.021071607246994972,0.009925246238708496,0.018050799146294594,0.411975622177124,0.012,0.031,0.16399999999999998,0.424,0.0034582982771098614,0.0033910064958035946,0.0030368687584996223,0.0027010757476091385,0.002110694535076618,1.3869163922208827e-05,0.6598005315939136,0.6634985393841221,0.681929934475506,0.6912736317540377,0.6778100811720242,0.6458510524039922
Upper middle income,Armenia,ARM,0.03801887854933739,0.031245488673448563,0.029875468462705612,0.032631970942020416,0.033223703503608704,,0.5085635781288147,0.6330026984214783,0.5651733875274658,0.5486719608306885,0.5486719608306885,0.3676,4.196177005767822,1.4838677644729614,1.5833126306533813,2.2841498851776123,2.152808666229248,2.642191171646118,,3.009255886077881,2.4017937183380127,7780.0,4381.154296875,5378.317999816815,0.001044055330567062,0.001225801999680698,-6.395854143192992e-05,0.0017772213323041797,0.0008955359808169305,0.000781850831117481,0.0008780818898230791,0.0008802809752523899,0.028851399198174477,0.01809735968708992,0.02893192321062088,0.019611189141869545,0.03521266207098961,0.06086522340774536,0.058389462530612946,0.059505850076675415,0.03451500087976456,0.25166556239128113,0.2679358720779419,0.24773208796977997,0.25180700421333313,,0.2618529200553894,0.21713678538799286,0.260820597410202,0.21726733446121216,,0.21942467987537384,0.1907869130373001,0.2125333994626999,0.20357200503349304,,0.18788839876651764,0.20522348582744598,0.17622654139995575,0.212241992354393,,0.17977525293827057,0.21692702174186707,0.15753701329231262,0.19819000363349915,,0.20095333456993103,0.72745,0.7727299999999999,0.6875199999999999,0.04671492427587509,0.046063393354415894,-0.06229200214147568,0.04093986377120018,-0.054396893829107285,0.02965262159705162,-0.03248662129044533,0.021031454205513,-0.026645047590136528,0.02210073359310627,-0.03866682946681976,0.005371604114770889,0.6576017737388611,0.019,0.084,0.569,0.272,0.010291049256920815,-0.007247502915561199,-0.00689305504783988,-0.0067396098747849464,-0.006841239519417286,-0.006699595134705305,0.6706015336061232,0.6656957499658325,0.6513574638019298,0.6501234254414205,0.6493785647319494,0.6141203916148039
High income,Aruba,ABW,0.03591228276491165,0.03489358350634575,0.035078588873147964,0.03524106368422508,0.03572523593902588,,0.6451061367988586,0.6451061367988586,0.6451061367988586,0.6451061367988586,0.6451061367988586,0.52935,4.96799898147583,8.422525405883789,9.11607551574707,6.004872798919678,5.66687536239624,2.355471611022949,,3.616567850112915,2.510833263397217,,,,0.005911636631935835,0.005814375821501017,0.005804792046546936,0.005897576455026865,0.006498908158391714,0.0055512432008981705,0.005634124856442213,0.005553480237722397,0.001797617063857615,0.0008305975352413952,0.0016134679317474365,-0.0008093041833490133,-0.007495320402085781,0.0037000002339482307,0.0035477709025144577,0.0038668853230774403,-0.0016949999844655395,0.20631371438503265,0.22596871852874756,0.22426475584506989,0.23712024092674255,,0.2124754786491394,0.2234286665916443,0.22436664998531342,0.23638801276683807,,0.20726224780082703,0.22525638341903687,0.2187877744436264,0.23661750555038452,,0.21339543163776398,0.22458405792713165,0.22475290298461914,0.2367429882287979,,0.2191373109817505,0.2188243865966797,0.22190003097057343,0.22590500116348267,,,,,,0.012858249247074127,0.012285484001040459,0.0030697518959641457,0.01926308497786522,-0.019686384126544,0.038447219878435135,0.015630653128027916,0.024780141189694405,0.005790326744318008,0.03712020069360733,,,,,,,,0.001175898825749755,0.0007492611766792834,-0.0011767159448936582,-0.0026680538430809975,-0.003768346505239606,-0.005643929820507765,0.6609880119001902,0.6572042811900415,0.6387517556912208,0.6202666916641278,0.6056574362299013,0.5972730545389092
